fold,GBM_reg__n_estimators,GBM_reg__max_features,GBM_reg__max_depth,GBM_reg__learning_rate
fold1,100,0.1,3,0.05
fold2,50,0.1,3,0.1
fold3,50,0.2,6,0.2
fold4,500,0.1,6,0.001
fold5,10,0.03,5,0.01
