fold,GBM_class__n_estimators,GBM_class__max_features,GBM_class__max_depth,GBM_class__learning_rate
fold1,10,0.03,5,0.01
fold2,500,0.03,4,0.1
fold3,500,0.03,4,0.1
fold4,50,0.2,2,0.05
fold5,50,0.1,3,0.1
