fold,GBM_reg__n_estimators,GBM_reg__max_features,GBM_reg__max_depth,GBM_reg__learning_rate
fold1,100,0.1,3,0.05
fold2,100,0.1,3,0.05
fold3,100,0.1,3,0.05
fold4,10,0.1,4,0.2
fold5,100,0.1,3,0.05
