fold,GBM_class__n_estimators,GBM_class__max_features,GBM_class__max_depth,GBM_class__learning_rate
fold1,10,0.1,4,0.2
fold2,50,0.1,3,0.1
fold3,50,0.2,6,0.2
fold4,10,0.1,4,0.2
fold5,500,0.03,4,0.1
