fold,GBM_class__n_estimators,GBM_class__max_features,GBM_class__max_depth,GBM_class__learning_rate
fold1,10,0.1,4,0.2
fold2,50,0.2,6,0.2
fold3,1000,0.5,6,0.01
fold4,50,0.2,2,0.05
fold5,1000,0.5,6,0.01
