fold,GBM_reg__n_estimators,GBM_reg__max_features,GBM_reg__max_depth,GBM_reg__learning_rate
fold1,500,0.03,4,0.1
fold2,500,0.03,4,0.1
fold3,500,0.1,6,0.001
fold4,50,0.2,2,0.05
fold5,500,0.1,6,0.001
