fold,GBM_reg__n_estimators,GBM_reg__max_features,GBM_reg__max_depth,GBM_reg__learning_rate
fold1,50,0.2,6,0.2
fold2,500,0.03,4,0.1
fold3,50,0.2,6,0.2
fold4,50,0.2,6,0.2
fold5,1000,0.5,6,0.01
