fold,GBM_reg__n_estimators,GBM_reg__max_features,GBM_reg__max_depth,GBM_reg__learning_rate
fold1,1000,0.5,6,0.01
fold2,1000,0.5,6,0.01
fold3,50,0.2,6,0.2
fold4,1000,0.5,6,0.01
fold5,1000,0.5,6,0.01
